Rank,Artist,Song,Year,ArtistSong
9,Steve Miller Band,Abracadabra,1982,Steve Miller BandAbracadabra
10,Chicago,Hard To Say I’m Sorry,1982,ChicagoHard To Say I’m Sorry
1,Police,Every Breath You Take,1983,PoliceEvery Breath You Take
2,Michael Jackson,Billie Jean,1983,Michael JacksonBillie Jean
3,Irene Cara,Flashdance… What A Feeling,1983,Irene CaraFlashdance… What A Feeling
4,Men At Work,Down Under,1983,Men At WorkDown Under
5,Michael Jackson,Beat It,1983,Michael JacksonBeat It
6,Bonnie Tyler,Total Eclipse Of The Heart,1983,Bonnie TylerTotal Eclipse Of The Heart
7,Daryl Hall and John Oates,Maneater,1983,Daryl Hall and John OatesManeater
8,Patti Austin and James Ingram,Baby Come To Me,1983,Patti Austin and James IngramBaby Come To Me
9,Michael Sembello,Maniac,1983,Michael SembelloManiac
10,Eurythmics,Sweet Dreams (Are Made Of This),1983,EurythmicsSweet Dreams (Are Made Of This)
1,Prince,When Doves Cry,1984,PrinceWhen Doves Cry
2,Tina Turner,What’s Love Got To Do With It,1984,Tina TurnerWhat’s Love Got To Do With It
3,Paul McCartney and Michael Jackson,Say Say Say,1984,Paul McCartney and Michael JacksonSay Say Say
4,Kenny Loggins,Footloose,1984,Kenny LogginsFootloose
5,Phil Collins,Against All Odds (Take A Look At Me Now),1984,Phil CollinsAgainst All Odds (Take A Look At Me Now)
6,Van Halen,Jump,1984,Van HalenJump
7,Lionel Richie,Hello,1984,Lionel RichieHello
8,Yes,Owner Of A Lonely Heart,1984,YesOwner Of A Lonely Heart
9,Ray Parker Jr.,Ghostbusters,1984,Ray Parker Jr.Ghostbusters
10,Culture Club,Karma Chameleon,1984,Culture ClubKarma Chameleon
1,Wham!,Careless Whisper,1985,Wham!Careless Whisper
2,Madonna,Like A Virgin,1985,MadonnaLike A Virgin
3,Wham!,Wake Me Up Before You Go-Go,1985,Wham!Wake Me Up Before You Go-Go
4,Foreigner,I Want To Know What Love Is,1985,ForeignerI Want To Know What Love Is
5,Chaka Khan,I Feel For You,1985,Chaka KhanI Feel For You
6,Daryl Hall and John Oates,Out Of Touch,1985,Daryl Hall and John OatesOut Of Touch
7,Tears For Fears,Everybody Wants To Rule The World,1985,Tears For FearsEverybody Wants To Rule The World
8,Dire Straits,Money For Nothing,1985,Dire StraitsMoney For Nothing
9,Madonna,Crazy For You,1985,MadonnaCrazy For You
10,A-Ha,Take On Me,1985,A-HaTake On Me
1,Dionne and Friends,That’s What Friends Are For,1986,Dionne and FriendsThat’s What Friends Are For
2,Lionel Richie,"Say You, Say Me",1986,"Lionel RichieSay You, Say Me"
3,Klymaxx,I Miss You,1986,KlymaxxI Miss You
4,Patti Labelle and Michael McDonald,On My Own,1986,Patti Labelle and Michael McDonaldOn My Own
5,Mr. Mister,Broken Wings,1986,Mr. MisterBroken Wings
6,Whitney Houston,How Will I Know,1986,Whitney HoustonHow Will I Know
7,Eddie Murphy,Party All The Time,1986,Eddie MurphyParty All The Time
8,Survivor,Burning Heart,1986,SurvivorBurning Heart
9,Mr. Mister,Kyrie,1986,Mr. MisterKyrie
10,Robert Palmer,Addicted To Love,1986,Robert PalmerAddicted To Love
1,Bangles,Walk Like An Egyptian,1987,BanglesWalk Like An Egyptian
2,Heart,Alone,1987,HeartAlone
3,Gregory Abbott,Shake You Down,1987,Gregory AbbottShake You Down
4,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,Whitney HoustonI Wanna Dance With Somebody (Who Loves Me)
5,Starship,Nothing’s Gonna Stop Us Now,1987,StarshipNothing’s Gonna Stop Us Now
6,Robbie Nevil,C’est La Vie,1987,Robbie NevilC’est La Vie
7,Whitesnake,Here I Go Again,1987,WhitesnakeHere I Go Again
8,Bruce Hornsby and The Range,The Way It Is,1987,Bruce Hornsby and The RangeThe Way It Is
9,Bob Seger,Shakedown,1987,Bob SegerShakedown
10,Bon Jovi,Livin’ On A Prayer,1987,Bon JoviLivin’ On A Prayer
1,George Michael,Faith,1988,George MichaelFaith
2,INXS,Need You Tonight,1988,INXSNeed You Tonight
3,George Harrison,Got My Mind Set On You,1988,George HarrisonGot My Mind Set On You
4,Rick Astley,Never Gonna Give You Up,1988,Rick AstleyNever Gonna Give You Up
5,Guns N’ Roses,Sweet Child O’ Mine,1988,Guns N’ RosesSweet Child O’ Mine
6,Whitney Houston,So Emotional,1988,Whitney HoustonSo Emotional
7,Belinda Carlisle,Heaven Is A Place On Earth,1988,Belinda CarlisleHeaven Is A Place On Earth
8,Tiffany,Could’ve Been,1988,TiffanyCould’ve Been
9,Breathe,Hands To Heaven,1988,BreatheHands To Heaven
10,Steve Winwood,Roll With It,1988,Steve WinwoodRoll With It
1,Chicago,Look Away,1989,ChicagoLook Away
2,Bobby Brown,My Prerogative,1989,Bobby BrownMy Prerogative
3,Poison,Every Rose Has Its Thorn,1989,PoisonEvery Rose Has Its Thorn
4,Paula Abdul,Straight Up,1989,Paula AbdulStraight Up
5,Janet Jackson,Miss You Much,1989,Janet JacksonMiss You Much
6,Paula Abdul,Cold Hearted,1989,Paula AbdulCold Hearted
7,Bette Midler,Wind Beneath My Wings,1989,Bette MidlerWind Beneath My Wings
8,Milli Vanilli,Girl You Know Its True,1989,Milli VanilliGirl You Know Its True
9,Will To Power,"Baby, I Love Your Way-Freebird",1989,"Will To PowerBaby, I Love Your Way-Freebird"
10,Anita Baker,Giving You The Best That I Got,1989,Anita BakerGiving You The Best That I Got
1,Wilson Phillips,Hold On,1990,Wilson PhillipsHold On
2,Roxette,It Must Have Been Love,1990,RoxetteIt Must Have Been Love
3,Sinead O’Connor,Nothing Compares 2 U,1990,Sinead O’ConnorNothing Compares 2 U
4,Bell Biv Devoe,Poison,1990,Bell Biv DevoePoison
5,Madonna,Vogue,1990,MadonnaVogue
6,Mariah Carey,Vision Of Love,1990,Mariah CareyVision Of Love
7,Phil Collins,Another Day In Paradise,1990,Phil CollinsAnother Day In Paradise
8,En Vogue,Hold On,1990,En VogueHold On
9,Billy Idol,Cradle Of Love,1990,Billy IdolCradle Of Love
10,Jon Bon Jovi,Blaze Of Glory,1990,Jon Bon JoviBlaze Of Glory
1,Bryan Adams,(Everything I Do) I Do It For You,1991,Bryan Adams(Everything I Do) I Do It For You
2,Color Me Badd,I Wanna Sex You Up,1991,Color Me BaddI Wanna Sex You Up
3,C+C Music Factory,Gonna Make You Sweat,1991,C+C Music FactoryGonna Make You Sweat
4,Paula Abdul,Rush Rush,1991,Paula AbdulRush Rush
5,Timmy T,One More Try,1991,Timmy TOne More Try
6,EMF,Unbelievable,1991,EMFUnbelievable
7,Extreme,More Than Words,1991,ExtremeMore Than Words
8,Hi-Five,I Like The Way (The Kissing Game),1991,Hi-FiveI Like The Way (The Kissing Game)
9,Surface,The First Time,1991,SurfaceThe First Time
10,Amy Grant,"Baby, Baby",1991,"Amy GrantBaby, Baby"
1,Boyz II Men,End Of The Road,1992,Boyz II MenEnd Of The Road
2,Sir Mix A-lot,Baby Got Back,1992,Sir Mix A-lotBaby Got Back
3,Kris Kross,Jump,1992,Kris KrossJump
4,Vanessa Williams,Save The Best For Last,1992,Vanessa WilliamsSave The Best For Last
5,TLC,Baby-Baby-Baby,1992,TLCBaby-Baby-Baby
6,Eric Clapton,Tears In Heaven,1992,Eric ClaptonTears In Heaven
7,En Vogue,My Lovin’ (You’re Never Gonna Get It),1992,En VogueMy Lovin’ (You’re Never Gonna Get It)
8,Red Hot Chili Peppers,Under The Bridge,1992,Red Hot Chili PeppersUnder The Bridge
9,Color Me Badd,All 4 Love,1992,Color Me BaddAll 4 Love
10,Jon Secada,Just Another Day,1992,Jon SecadaJust Another Day
1,Whitney Houston,I Will Always Love You,1993,Whitney HoustonI Will Always Love You
2,Tag Team,Whoomp! (There It Is),1993,Tag TeamWhoomp! (There It Is)
3,UB40,Can’t Help Falling In Love,1993,UB40Can’t Help Falling In Love
4,Janet Jackson,That’s The Way Love Goes,1993,Janet JacksonThat’s The Way Love Goes
5,Silk,Freak Me,1993,SilkFreak Me
6,SWV,Weak,1993,SWVWeak
7,Shai,If I Ever Fall In Love,1993,ShaiIf I Ever Fall In Love
8,Mariah Carey,Dreamlover,1993,Mariah CareyDreamlover
9,Wreckx-N-Effect,Rump Shaker,1993,Wreckx-N-EffectRump Shaker
10,Snow,Informer,1993,SnowInformer
1,Ace Of Base,The Sign,1994,Ace Of BaseThe Sign
2,All-4-One,I Swear,1994,All-4-OneI Swear
3,Boyz II Men,I’ll Make Love To You,1994,Boyz II MenI’ll Make Love To You
4,Celine Dion,The Power Of Love,1994,Celine DionThe Power Of Love
5,Mariah Carey,Hero,1994,Mariah CareyHero
6,Lisa Loeb and Nine Stories,Stay (I Missed You),1994,Lisa Loeb and Nine StoriesStay (I Missed You)
7,Toni Braxton,Breathe Again,1994,Toni BraxtonBreathe Again
8,"Bryan Adams, Rod Stewart and Sting",All For Love,1994,"Bryan Adams, Rod Stewart and StingAll For Love"
9,Ace Of Base,All That She Wants,1994,Ace Of BaseAll That She Wants
10,Ace Of Base,Don’t Turn Around,1994,Ace Of BaseDon’t Turn Around
1,Coolio,Gangsta’s Paradise,1995,CoolioGangsta’s Paradise
2,TLC,Waterfalls,1995,TLCWaterfalls
3,TLC,Creep,1995,TLCCreep
4,Seal,Kiss From A Rose,1995,SealKiss From A Rose
5,Boyz II Men,On Bended Knee,1995,Boyz II MenOn Bended Knee
6,Real McCoy,Another Night,1995,Real McCoyAnother Night
7,Mariah Carey,Fantasy,1995,Mariah CareyFantasy
8,Madonna,Take A Bow,1995,MadonnaTake A Bow
9,Monica,Don’t Take It Personal (Just One Of Dem Days),1995,MonicaDon’t Take It Personal (Just One Of Dem Days)
10,Montell Jordan,This Is How We Do It,1995,Montell JordanThis Is How We Do It
1,Los Del Rio,Macarena (Bayside Boys Mix),1996,Los Del RioMacarena (Bayside Boys Mix)
2,Mariah Carey and Boyz II Men,One Sweet Day,1996,Mariah Carey and Boyz II MenOne Sweet Day
3,Celine Dion,Because You Loved Me,1996,Celine DionBecause You Loved Me
4,Tony Rich Project,Nobody Knows,1996,Tony Rich ProjectNobody Knows
5,Mariah Carey,Always Be My Baby,1996,Mariah CareyAlways Be My Baby
6,Tracy Chapman,Give Me One Reason,1996,Tracy ChapmanGive Me One Reason
7,Bone Thugs-N-Harmony,Tha Crossroads,1996,Bone Thugs-N-HarmonyTha Crossroads
8,Donna Lewis,I Love You Always Forever,1996,Donna LewisI Love You Always Forever
9,Toni Braxton,You’re Makin’ Me High / Let It Flow,1996,Toni BraxtonYou’re Makin’ Me High / Let It Flow
10,Keith Sweat,Twisted,1996,Keith SweatTwisted
1,Elton John,Candle In The Wind 1997,1997,Elton JohnCandle In The Wind 1997
2,Jewel,Foolish Games / You Were Meant For Me,1997,JewelFoolish Games / You Were Meant For Me
3,Puff Daddy and Faith Evans,I’ll Be Missing You,1997,Puff Daddy and Faith EvansI’ll Be Missing You
4,Toni Braxton,Un-Break My Heart,1997,Toni BraxtonUn-Break My Heart
5,Puff Daddy,Can’t Nobody Hold Me Down,1997,Puff DaddyCan’t Nobody Hold Me Down
6,R. Kelly,I Believe I Can Fly,1997,R. KellyI Believe I Can Fly
7,En Vogue,Don’t Let Go (Love),1997,En VogueDon’t Let Go (Love)
8,Mark Morrison,Return Of The Mack,1997,Mark MorrisonReturn Of The Mack
9,LeAnn Rimes,How Do I Live,1997,LeAnn RimesHow Do I Live
10,Spice Girls,Wannabe,1997,Spice GirlsWannabe
1,Next,Too Close,1998,NextToo Close
2,Brandy and Monica,The Boy Is Mine,1998,Brandy and MonicaThe Boy Is Mine
3,Shania Twain,You’re Still The One,1998,Shania TwainYou’re Still The One
4,Savage Garden,Truly Madly Deeply,1998,Savage GardenTruly Madly Deeply
5,LeAnn Rimes,How Do I Live,1998,LeAnn RimesHow Do I Live
6,Janet,Together Again,1998,JanetTogether Again
7,K-Ci and JoJo,All My Life,1998,K-Ci and JoJoAll My Life
8,Elton John,Candle In The Wind 1997,1998,Elton JohnCandle In The Wind 1997
9,Usher,Nice & Slow,1998,UsherNice & Slow
10,Paula Cole,I Don’t Want To Wait,1998,Paula ColeI Don’t Want To Wait
1,Cher,Believe,1999,CherBelieve
2,TLC,No Scrubs,1999,TLCNo Scrubs
3,Monica,Angel Of Mine,1999,MonicaAngel Of Mine
4,Whitney Houston,Heartbreak Hotel,1999,Whitney HoustonHeartbreak Hotel
5,Britney Spears,…Baby One More Time,1999,Britney Spears…Baby One More Time
6,Sixpence None The Richer,Kiss Me,1999,Sixpence None The RicherKiss Me
7,Christina Aguilera,Genie In A Bottle,1999,Christina AguileraGenie In A Bottle
8,Sugar Ray,Every Morning,1999,Sugar RayEvery Morning
9,Deborah Cox,Nobody’s Supposed To Be Here,1999,Deborah CoxNobody’s Supposed To Be Here
10,Ricky Martin,Livin’ La Vida Loca,1999,Ricky MartinLivin’ La Vida Loca
1,Faith Hill,Breathe,2000,Faith HillBreathe
2,Santana feat. Rob Thomas,Smooth,2000,Santana feat. Rob ThomasSmooth
3,Santana feat. The Product GandB,Maria Maria,2000,Santana feat. The Product GandBMaria Maria
4,Joe,I Wanna Know,2000,JoeI Wanna Know
5,Vertical Horizon,Everything You Want,2000,Vertical HorizonEverything You Want
6,Destiny’s Child,Say My Name,2000,Destiny’s ChildSay My Name
7,Savage Garden,I Knew I Loved You,2000,Savage GardenI Knew I Loved You
8,Lonestar,Amazed,2000,LonestarAmazed
9,matchbox twenty,Bent,2000,matchbox twentyBent
10,Toni Braxton,He Wasn’t Man Enough,2000,Toni BraxtonHe Wasn’t Man Enough
1,Lifehouse,Hanging By A Moment,2001,LifehouseHanging By A Moment
2,Alicia Keys,Fallin’,2001,Alicia KeysFallin’
3,Janet,All For You,2001,JanetAll For You
4,Train,Drops Of Jupiter (Tell Me),2001,TrainDrops Of Jupiter (Tell Me)
5,Jennifer Lopez feat. Ja Rule,I’m Real,2001,Jennifer Lopez feat. Ja RuleI’m Real
6,matchbox twenty,If You’re Gone,2001,matchbox twentyIf You’re Gone
7,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,2001,Eve feat. Gwen StefaniLet Me Blow Ya Mind
8,Dido,Thank You,2001,DidoThank You
9,Lenny Kravitz,Again,2001,Lenny KravitzAgain
10,Destiny’s Child,Independent Women Part I,2001,Destiny’s ChildIndependent Women Part I
1,Nickelback,How Your Remind Me,2002,NickelbackHow Your Remind Me
2,Ashanti,Foolish,2002,AshantiFoolish
3,Nelly,Hot in Herre,2002,NellyHot in Herre
4,Nelly feat. Kelly Rowland,Dilemma,2002,Nelly feat. Kelly RowlandDilemma
5,The Calling,Wherever you Will Go,2002,The CallingWherever you Will Go
6,Vanessa Carlton,A Thousand Miles,2002,Vanessa CarltonA Thousand Miles
7,Linkin Park,In the End,2002,Linkin ParkIn the End
8,Fat Joe feat. Ashanti,What’s Luv?,2002,Fat Joe feat. AshantiWhat’s Luv?
9,Usher,U Got it Bad,2002,UsherU Got it Bad
10,Puddle Of Mudd,Blurry,2002,Puddle Of MuddBlurry
1,50 Cent,In Da Club,2003,50 CentIn Da Club
2,R. Kelly,Ignition,2003,R. KellyIgnition
3,Sean Paul,Get Busy,2003,Sean PaulGet Busy
4,Beyonce feat. Jay-Z,Crazy in Love,2003,Beyonce feat. Jay-ZCrazy in Love
5,3 Doors Down,When I’m Gone,2003,3 Doors DownWhen I’m Gone
6,matchbox twenty,Unwell,2003,matchbox twentyUnwell
7,Chingy,Right Thurr,2003,ChingyRight Thurr
8,Aaliyah,Miss You,2003,AaliyahMiss You
9,Kid Rock feat. Sheryl Crow,Picture,2003,Kid Rock feat. Sheryl CrowPicture
10,Evanescence feat. Paul McCoy,Bring me to Life,2003,Evanescence feat. Paul McCoyBring me to Life
1,Usher feat. Lil Jon and Ludacris,Yeah!,2004,Usher feat. Lil Jon and LudacrisYeah!
2,Usher,Burn,2004,UsherBurn
3,Alicia Keys,If I Ain’t Got You,2004,Alicia KeysIf I Ain’t Got You
4,Maroon5,This Love,2004,Maroon5This Love
5,OutKast feat. Sleepy Brown,The Way You Move,2004,OutKast feat. Sleepy BrownThe Way You Move
6,Hoobastank,The Reason,2004,HoobastankThe Reason
7,Mario Winans feat. Enya and P. Diddy,I Don’t Wanna Know,2004,Mario Winans feat. Enya and P. DiddyI Don’t Wanna Know
8,OutKast,Hey Ya!,2004,OutKastHey Ya!
9,Ciara feat. Petey Pablo,Goodies,2004,Ciara feat. Petey PabloGoodies
10,Terror Squad,Lean Back,2004,Terror SquadLean Back
1,Mariah Carey,We Belong Together,2005,Mariah CareyWe Belong Together
2,Gwen Stefani,Hollaback Girl,2005,Gwen StefaniHollaback Girl
3,Mario,Let Me Love You,2005,MarioLet Me Love You
4,Kelly Clarkson,Since U Been Gone,2005,Kelly ClarksonSince U Been Gone
5,Ciara feat. Missy Elliott,"1, 2 Step",2005,"Ciara feat. Missy Elliott1, 2 Step"
6,Kanye West feat. Jamie Foxx,Gold Digger,2005,Kanye West feat. Jamie FoxxGold Digger
7,Green Day,Boulevard of Broken Dreams,2005,Green DayBoulevard of Broken Dreams
8,50 Cent feat. Olivia,Candy Shop,2005,50 Cent feat. OliviaCandy Shop
9,The Pussycat Dolls feat. Busta Rhymes,Don’t Cha,2005,The Pussycat Dolls feat. Busta RhymesDon’t Cha
10,Kelly Clarkson,Behind These Hazel Eyes,2005,Kelly ClarksonBehind These Hazel Eyes
1,Daniel Powter,Bad Day,2006,Daniel PowterBad Day
2,Sean Paul,Temperature,2006,Sean PaulTemperature
3,Nelly Furtado feat. Timbaland,Promiscuous,2006,Nelly Furtado feat. TimbalandPromiscuous
4,James Blunt,You’re Beautiful,2006,James BluntYou’re Beautiful
5,Shakira feat. Wyclef Jean,Hips Don’t Lie,2006,Shakira feat. Wyclef JeanHips Don’t Lie
6,Natasha Bedingfield,Unwritten,2006,Natasha BedingfieldUnwritten
7,Gnarls Barkley,Crazy,2006,Gnarls BarkleyCrazy
8,Chamillionaire feat. Krayzie Bone,Ridin’,2006,Chamillionaire feat. Krayzie BoneRidin’
9,Justin Timberlake,Sexyback,2006,Justin TimberlakeSexyback
10,Beyonce feat. Slim Thug,Check on It,2006,Beyonce feat. Slim ThugCheck on It
1,Beyonce,Irreplaceable,2007,BeyonceIrreplaceable
2,Rihanna feat. Jay-Z,Umbrella,2007,Rihanna feat. Jay-ZUmbrella
3,Gwen Stefani feat. Akon,The Sweet Escape,2007,Gwen Stefani feat. AkonThe Sweet Escape
4,Fergie,Big Girls Don’t Cry,2007,FergieBig Girls Don’t Cry
5,T-Pain feat. Yung Joc,Buy U A Drank (Shawty Snappin’),2007,T-Pain feat. Yung JocBuy U A Drank (Shawty Snappin’)
6,Carrie Underwood,Before He Cheats,2007,Carrie UnderwoodBefore He Cheats
7,Plain White T’s,Hey There Delilah,2007,Plain White T’sHey There Delilah
8,Akon feat. Snoop Dogg,I Wanna Love You,2007,Akon feat. Snoop DoggI Wanna Love You
9,Nelly Furtado,Say It Right,2007,Nelly FurtadoSay It Right
10,Fergie feat. Ludacris,Glamorous,2007,Fergie feat. LudacrisGlamorous
1,Flo Rida feat. T-Pain,Low,2008,Flo Rida feat. T-PainLow
2,Leona Lewis,Bleeding Love,2008,Leona LewisBleeding Love
3,Alicia Keys,No One,2008,Alicia KeysNo One
4,Lil Wayne feat. Static Major,Lollipop,2008,Lil Wayne feat. Static MajorLollipop
5,Timbaland feat. OneRepublic,Apologize,2008,Timbaland feat. OneRepublicApologize
6,Jordin Sparks Duet With Chris Brown,No Air,2008,Jordin Sparks Duet With Chris BrownNo Air
7,Sara Bareilles,Love Song,2008,Sara BareillesLove Song
8,Usher feat. Young Jeezy,Love In This Club,2008,Usher feat. Young JeezyLove In This Club
9,Chris Brown,With You,2008,Chris BrownWith You
10,Chris Brown,Forever,2008,Chris BrownForever
1,The Black Eyed Peas,Boom Boom Pow,2009,The Black Eyed PeasBoom Boom Pow
2,Lady Gaga,Poker Face,2009,Lady GagaPoker Face
3,Lady Gaga feat. Colby O’Donis,Just Dance,2009,Lady Gaga feat. Colby O’DonisJust Dance
4,The Black Eyed Peas,I Gotta Feeling,2009,The Black Eyed PeasI Gotta Feeling
5,Taylor Swift,Love Story,2009,Taylor SwiftLove Story
6,Flo Rida,Right Round,2009,Flo RidaRight Round
7,Jason Mraz,I’m Yours,2009,Jason MrazI’m Yours
8,Beyonce,Single Ladies (Put A Ring On It),2009,BeyonceSingle Ladies (Put A Ring On It)
9,Kanye West,Heartless,2009,Kanye WestHeartless
10,The All-American Rejects,Gives You Hell,2009,The All-American RejectsGives You Hell
1,Ke$ha,TiK ToK,2010,Ke$haTiK ToK
2,Lady Antebellum,Need You Now,2010,Lady AntebellumNeed You Now
3,Train,"Hey, Soul Sister",2010,"TrainHey, Soul Sister"
4,Katy Perry feat. Snoop Dogg,California Gurls,2010,Katy Perry feat. Snoop DoggCalifornia Gurls
5,Usher feat. will.i.am,OMG,2010,Usher feat. will.i.amOMG
6,B.o.B feat. Hayley Williams,Airplanes,2010,B.o.B feat. Hayley WilliamsAirplanes
7,Eminem feat. Rihanna,Love The Way You Lie,2010,Eminem feat. RihannaLove The Way You Lie
8,Lady Gaga,Bad Romance,2010,Lady GagaBad Romance
9,Taio Cruz,Dynamite,2010,Taio CruzDynamite
10,Taio Cruz feat. Ludacris,Break Your Heart,2010,Taio Cruz feat. LudacrisBreak Your Heart
1,Adele,Rolling In The Deep,2011,AdeleRolling In The Deep
2,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,2011,LMFAO feat. Lauren Bennett & GoonRockParty Rock Anthem
3,Katy Perry,Firework,2011,Katy PerryFirework
4,Katy Perry feat. Kanye West,E.T.,2011,Katy Perry feat. Kanye WestE.T.
5,"Pitbull feat. Ne-Yo, Afrojack & Nayer",Give Me Everything,2011,"Pitbull feat. Ne-Yo, Afrojack & NayerGive Me Everything"
6,Bruno Mars,Grenade,2011,Bruno MarsGrenade
7,Cee Lo Green,F**K You (Forget You),2011,Cee Lo GreenF**K You (Forget You)
8,Nicki Minaj,Super Bass,2011,Nicki MinajSuper Bass
9,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,2011,Maroon 5 feat. Christina AguileraMoves Like Jagger
10,The Black Eyed Peas,Just Can’t Get Enough,2011,The Black Eyed PeasJust Can’t Get Enough
1,Gotye feat. Kimbra,Somebody That I Used To Know,2012,Gotye feat. KimbraSomebody That I Used To Know
2,Carly Rae Jepsen,Call Me Maybe,2012,Carly Rae JepsenCall Me Maybe
3,fun. feat. Janelle Monae,We Are Young,2012,fun. feat. Janelle MonaeWe Are Young
4,Maroon 5 feat. Wiz Khalifa,Payphone,2012,Maroon 5 feat. Wiz KhalifaPayphone
5,Ellie Goulding,Lights,2012,Ellie GouldingLights
6,The Wanted,Glad You Came,2012,The WantedGlad You Came
7,Kelly Clarkson,Stronger (What Doesn’t Kill You),2012,Kelly ClarksonStronger (What Doesn’t Kill You)
8,Rihanna feat. Calvin Harris,We Found Love,2012,Rihanna feat. Calvin HarrisWe Found Love
9,Nicki Minaj,Starships,2012,Nicki MinajStarships
10,One Direction,What Makes You Beautiful,2012,One DirectionWhat Makes You Beautiful
1,Macklemore and Ryan Lewis feat. Wanz,Thrift Shop,2013,Macklemore and Ryan Lewis feat. WanzThrift Shop
2,Robin Thicke feat. T.I. and Pharrell,Blurred Lines,2013,Robin Thicke feat. T.I. and PharrellBlurred Lines
3,Imagine Dragons,Radioactive,2013,Imagine DragonsRadioactive
4,Baauer,Harlem Shake,2013,BaauerHarlem Shake
5,Macklemore and Ryan Lewis feat. Ray Dalton,Can't Hold Us,2013,Macklemore and Ryan Lewis feat. Ray DaltonCan't Hold Us
6,Justin Timberlake,Mirrors,2013,Justin TimberlakeMirrors
7,P!nk feat. Nate Ruess,Just Give Me A Reason,2013,P!nk feat. Nate RuessJust Give Me A Reason
8,Bruno Mars,When I Was Your Man,2013,Bruno MarsWhen I Was Your Man
9,Florida Georgia Line feat. Nelly,Cruise,2013,Florida Georgia Line feat. NellyCruise
10,Katy Perry,Roar,2013,Katy PerryRoar
1,Pharrell Williams,Happy,2014,Pharrell WilliamsHappy
2,Katy Perry feat. Juicy J,Dark Horse,2014,Katy Perry feat. Juicy JDark Horse
3,John Legend,All Of Me,2014,John LegendAll Of Me
4,Iggy Azalea feat. Charli XCX,Fancy,2014,Iggy Azalea feat. Charli XCXFancy
5,OneRepublic,Counting Stars,2014,OneRepublicCounting Stars
6,Jason Derulo feat. 2 Chainz,Talk Dirty,2014,Jason Derulo feat. 2 ChainzTalk Dirty
7,MAGIC!,Rude,2014,MAGIC!Rude
8,Meghan Trainor,All About That Bass,2014,Meghan TrainorAll About That Bass
9,Ariana Grande feat. Iggy Azalea,Problem,2014,Ariana Grande feat. Iggy AzaleaProblem
10,Sam Smith,Stay With Me,2014,Sam SmithStay With Me
1,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015,Mark Ronson feat. Bruno MarsUptown Funk!
2,Ed Sheeran,Thinking Out Loud,2015,Ed SheeranThinking Out Loud
3,Wiz Khalifa feat. Charlie Puth,See You Again,2015,Wiz Khalifa feat. Charlie PuthSee You Again
4,Fetty Wap,Trap Queen,2015,Fetty WapTrap Queen
5,Maroon 5,Sugar,2015,Maroon 5Sugar
6,Walk The Moon,Shut Up and Dance,2015,Walk The MoonShut Up and Dance
7,Taylor Swift,Blank Space,2015,Taylor SwiftBlank Space
8,Silento,Watch Me,2015,SilentoWatch Me
9,Weeknd,Earned It (Fifty Shades Of Grey),2015,WeekndEarned It (Fifty Shades Of Grey)
10,Weeknd,The Hills,2015,WeekndThe Hills
1,Justin Bieber,Love Yourself,2016,Justin BieberLove Yourself
2,Justin Bieber,Sorry,2016,Justin BieberSorry
3,Drake feat. WizKid and Kyla,One Dance,2016,Drake feat. WizKid and KylaOne Dance
4,Rihanna feat. Drake,Work,2016,Rihanna feat. DrakeWork
5,twenty one pilots,Stressed Out,2016,twenty one pilotsStressed Out
6,Desiigner,Panda,2016,DesiignerPanda
7,Adele,Hello,2016,AdeleHello
8,Chainsmokers feat. Daya,Don't Let Me Down,2016,Chainsmokers feat. DayaDon't Let Me Down
9,Justin Timberlake,Can't Stop The Feeling!,2016,Justin TimberlakeCan't Stop The Feeling!
10,Chainsmokers feat. Halsey,Closer,2016,Chainsmokers feat. HalseyCloser
