URI,Artist,Songs,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence,WH,War?,,,,,,,,,
spotify:track:79s3pSe1u6ggQBEwVPm58Z,Bobby Lewis,Tossin' And Turnin',1961,47,0.225,0.569,0.722,0,-8.914,0.0393,142.736,0.965,D,Peace,,,,,,,,,
spotify:track:6zFsz86nAj5gcvzyVqNL3k,Patsy Cline,I Fall To Pieces - Single Version,1961,58,0.917,0.481,0.0568,0,-20.508,0.0357,111.799,0.505,D,Peace,,,,,,,,,
spotify:track:45Szkclj1lt4ubm7RFK68t,Del Shannon,Runaway,1961,59,0.153,0.594,0.533,1.49E-05,-7.993,0.0438,78.552,0.729,D,Peace,,,,,,,,,
spotify:track:1paWReMsPIqKGEOxdlHT2D,The Jive Five,My True Story,1961,36,0.768,0.254,0.465,0,-7.421,0.0325,183.362,0.642,D,Peace,,,,,,,,,
spotify:track:2XPEv2sB6c44DSocT2TwAc,Chubby Checker,Pony Time,1961,29,0.00868,0.453,0.609,3.43E-05,-6.662,0.0296,77.36,0.96,D,Peace,,,,,,,,,
spotify:track:789lq0oHhOa4pHh2y9rjkN,The String-A-Longs,Wheels,1961,30,0.689,0.787,0.623,0.0932,-8.241,0.0359,128.327,0.869,D,Peace,,Democrat,Republican,,,,war,peace,
spotify:track:6CqTD9nWwf8R1yPVkIVdF5,Dee Clark,Raindrops,1961,18,0.452,0.381,0.719,0,-7.613,0.0494,114.086,0.563,D,Peace,,n=194,n=355,p value,,,195,n=355,
spotify:track:39e0LjVC05qRY15TMmWGMN,Mr. Acker Bilk & His Paramount Jazz Band,Stranger on the Shore,1962,6,0.988,0.405,0.0201,0.888,-23.027,0.0376,77.951,0.271,D,Peace,Popularity,51.89175258,58.16901408,0.0001,,Popularity,51.85051546,63.75625,0.0001
spotify:track:79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,I Can't Stop Loving You,1962,56,0.815,0.31,0.279,0,-13.552,0.0308,79.397,0.377,D,Peace,,19.31985928,17.07509661,,,,17.17491015,14.07381568,
spotify:track:6jouZcdraQvsbh7SWkLEui,Dee Dee Sharp,Mashed Potato Time,1962,45,0.0705,0.674,0.473,4.79E-05,-7.193,0.0362,125.046,0.847,D,Peace,,,,,,,,,
spotify:track:0qYok0f8O5DE8yJSo146dn,Bobby Vinton,Roses Are Red (My Love) - Single Version,1962,51,0.828,0.515,0.218,0,-10.071,0.0287,102.997,0.534,D,Peace,Acousticness,0.438402706,0.323949028,0.0001,,Acousticness,0.447788789,0.211846088,0.0001
spotify:track:00vH2PsEQTGRyJYhyIyDbr,Various Artists,The Stripper,1962,33,0.658,0.483,0.46,0.924,-10.055,0.0282,94.185,0.564,D,Peace,,0.340840066,0.307488585,,,,0.336654836,0.132665738,
spotify:track:5j4CGIpT35ipZrF93ejrhl,Shelley Fabares,Johnny Angel - Single Version,1962,36,0.872,0.369,0.385,0,-9.132,0.0282,108.025,0.735,D,Peace,,,,,,,,,
spotify:track:1hClDWPgajpLIFjLOkFuau,Various Artists,The Loco-Motion - Single Version,1962,48,0.674,0.636,0.893,0.00143,-6.311,0.047,129.664,0.887,D,Peace,Danceability,0.582329897,0.628414085,0.011,,Danceability,0.595912371,0.66055625,0.0001
spotify:track:3ohLnESFgYACPMCkoTOzqE,Chubby Checker,The Twist,1962,56,0.202,0.533,0.638,0,-7.13,0.0341,156.663,0.937,D,Peace,,0.173650189,0.153620912,,,,0.161647661,0.132665738,
spotify:track:6g4Oyy8IwraOjPl7nqnROq,The Shirelles,Soldier Boy,1962,41,0.754,0.569,0.198,0.0002,-15.481,0.0265,97.595,0.622,D,Peace,,,,,,,,,
spotify:track:2nLLenueHlqs60IcDn9lan,The Fireballs,Sugar Shack,1963,49,0.225,0.792,0.804,5.01E-06,-7.484,0.0659,132.852,0.879,D,Peace,Energy,0.509042268,0.594396901,0.0001,,Energy,0.517438144,0.64623125,0.0001
spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b,The Beach Boys,Surfin' U.S.A. - Remastered,1963,71,0.661,0.55,0.854,0,-5.968,0.036,159.231,0.965,D,Peace,,0.215158116,0.218678543,,,,0.22246534,0.178391987,
spotify:track:5DTOOkooKFUvWj1XQTFa09,Skeeter Davis,The End of the World,1963,57,0.936,0.232,0.216,4.93E-06,-10.674,0.0314,94.268,0.432,D,Peace,,,,,,,,,
spotify:track:7GHf8dQ2wA71wYOuRsQCZP,The Cascades,Rhythm Of The Rain,1963,58,0.627,0.659,0.66,0.000217,-8.337,0.0441,116.634,0.672,D,Peace,Instrument,0.052567218,0.323949028,0.0001,,Instrument,0.043515755,0.024046109,0.0513
spotify:track:4QelFzhVgLomeQhvKrwM1S,Bobby Vinton,Blue Velvet,1963,60,0.862,0.376,0.246,0,-9.803,0.0286,80.167,0.282,D,Peace,,0.183650929,0.136346087,,,,0.156259266,0.117646121,
spotify:track:6MpCxTJNdkHIpvQRuID8zU,Various Artists,Hey Paula - Single Version,1963,41,0.784,0.506,0.258,0,-11.822,0.0293,109.595,0.544,D,Peace,,,,,,,,,
spotify:track:2JwLfiU13mnYuiqcqriOLl,The Village Stompers,Washington Square,1963,23,0.565,0.801,0.301,0.14,-12.197,0.0464,119.916,0.769,D,Peace,Loudness,-9.812505155,-8.697546479,0.0006,,Loudness,-9.80143299,-8.31095,0.0001
spotify:track:4pbG9SUmWIvsROVLF0zF9s,The Beatles,I Want To Hold Your Hand - Remastered 2015,1964,75,0.386,0.49,0.715,0,-5.549,0.0476,130.726,0.866,D,Peace,,3.374658847,3.795378284,,,,3.456229339,3.280009046,
spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6,The Beatles,She Loves You - Mono / Remastered,1964,67,0.26,0.377,0.916,0,-3.199,0.0481,75.533,0.912,D,Peace,,,,,,,,,
spotify:track:63kd4m3VFxcJjPVVtbVNAu,Louis Armstrong,"Hello, Dolly!",1964,50,0.842,0,0.405,0.00114,-9.935,0,0,0,D,Peace,Speechniess,0.04505,0.064576056,0.0002,,Speechniess,0.048945361,0.061395,0.0122
spotify:track:48i055G1OT5KxGGftwFxWy,Roy Orbison,"Oh, Pretty Woman",1964,71,0.715,0.619,0.603,0,-9.481,0.0342,127.432,0.958,D,Peace,,0.029075887,0.068738964,,,,0.036420239,0.064013157,
spotify:track:3v9xlH6BpmRbqL7hgNJhfT,The Beach Boys,I Get Around (Mono),1964,65,0.36,0.39,0.625,0,-7.813,0.0537,144.338,0.514,D,Peace,,,,,,,,,
spotify:track:78VG6M1i7JQXBdygmWFwye,Dean Martin,Everybody Loves Somebody,1964,59,0.806,0.26,0.49,0,-9.121,0.0415,80.599,0.399,D,Peace,Tempo,114.1461546,116.0601831,0.4398,,Tempo,,,
spotify:track:4591VqUIXysNlmI5NcAIUd,Mary Wells,My Guy,1964,67,0.557,0.691,0.581,4.62E-05,-7.85,0.065,126.615,0.91,D,Peace,,29.07148754,26.88234182,,,,,,
spotify:track:48obzdkQV1biEq8cPsGLys,J. Frank Wilson & The Cavaliers,Last Kiss,1964,40,0.262,0.746,0.482,0,-7.919,0.0471,135.202,0.698,D,Peace,,,,,,,,,
spotify:track:69RH84na5iUNwrwxpgjC5j,The Supremes,Where Did Our Love Go,1964,66,0.745,0.552,0.481,3.43E-06,-10.764,0.0404,134.838,0.833,D,Peace,Valence,0.578537629,0.604039155,0.2672,,Valence,,,
spotify:track:5EdlwzcgIAYs2HGvOnczPN,Andy Gibb,I Just Want To Be Your Everything,1977,56,0.169,0.648,0.656,1.17E-05,-7.393,0.0345,97.093,0.831,D,Peace,,0.266251837,0.252423795,,,,,,
spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,The Emotions,Best of My Love,1977,65,0.447,0.784,0.713,0.14,-6.865,0.0339,115.443,0.97,D,Peace,,,,,,,,,
spotify:track:2IcqY68BxP1ONPi3ME6aje,Barbra Streisand,"Evergreen (Love Theme from, ""A Star Is Born"")",1977,61,0.932,0.335,0.303,0.0271,-10.943,0.0315,114.224,0.186,D,Peace,,,,,,,,,
spotify:track:1qOwgAjki5VN0G2kXEUCLG,Various Artists,Angel in Your Arms,1977,19,0.626,0.615,0.389,0,-14.109,0.0698,81.336,0.723,D,Peace,,,,,,,,,
spotify:track:4wlRO5dyyO7jYrzs2PltV8,Kenny Nolan,I Like Dreamin' - Demo Version,1977,34,0.953,0.626,0.181,0.00769,-14.203,0.0394,123.911,0.253,D,Peace,,,,,,,,,
spotify:track:0M4IiNtcu6Ed0F1rY1Imzp,Various Artists,Don’t Leave Me This Way (Re-Recorded),1977,22,0.34,0.711,0.833,0,-7.092,0.094,120.015,0.637,D,Peace,,,,,,,,,
spotify:track:39iKJpLPhsDTOzH2lXliWF,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher,1977,41,0.0575,0.656,0.646,0.00464,-9.169,0.0336,117.586,0.75,D,Peace,,,,,,,,,
spotify:track:21jOt25HxvWACZoPQkOzJ7,Various Artists,Undercover Angel - Re-Recording,1977,24,0.321,0.672,0.527,0,-9.94,0.0374,103.122,0.797,D,Peace,,,,,,,,,
spotify:track:64PqvBqVyWABznKG6DXU6p,Various Artists,Torn Between Two Lovers,1977,43,0.728,0.55,0.376,0.000144,-11.426,0.0304,132.177,0.495,D,Peace,,,,,,,,,
spotify:track:3unwRUV5qbjMmH3NJtaODy,Andy Gibb,Shadow Dancing,1978,44,0.142,0.742,0.6,0,-9.647,0.0319,101.92,0.954,D,Peace,,,,,,,,,
spotify:track:3mRM4NM8iO7UBqrSigCQFH,Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",1978,76,0.0322,0.703,0.826,0.00629,-7.179,0.0341,103.564,0.945,D,Peace,,,,,,,,,
spotify:track:3dFR132gzO8jxD57R2gid3,Debby Boone,You Light Up My Life,1978,56,0.831,0.333,0.367,1.19E-05,-10.06,0.0291,77.986,0.0685,D,Peace,,,,,,,,,
spotify:track:3mRM4NM8iO7UBqrSigCQFH,Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",1978,76,0.0322,0.703,0.826,0.00629,-7.179,0.0341,103.564,0.945,D,Peace,,,,,,,,,
spotify:track:3FGcQkWQlkeB82RdZwlw8V,Exile,Kiss You All Over,1978,57,0.253,0.741,0.267,0.000447,-17.204,0.0285,102.428,0.497,D,Peace,,,,,,,,,
spotify:track:2JoZzpdeP2G6Csfdq5aLXP,Bee Gees,How Deep Is Your Love,1978,75,0.105,0.633,0.357,0,-9.366,0.0264,104.938,0.674,D,Peace,,,,,,,,,
spotify:track:2eRYuzlSOBk3HlMsCSOLPJ,Groove Armada,Baby Come Back,1978,54,0.0713,0.645,0.604,0,-9.904,0.118,156.436,0.545,D,Peace,,,,,,,,,
spotify:track:5WdF8jm3hBNi1t9qlqdjsE,Andy Gibb,(Love Is) Thicker Than Water,1978,43,0.129,0.586,0.463,7.08E-05,-9.929,0.0252,96.479,0.551,D,Peace,,,,,,,,,
spotify:track:0y0QpmcF1G3F79rjk3fjUx,A Taste Of Honey,Boogie Oogie Oogie - Single Version 2 / Remastered 1999,1978,51,0.0991,0.835,0.522,0.00184,-10.828,0.0916,123.934,0.91,D,Peace,,,,,,,,,
spotify:track:4ztwMHfPZhPoruZdBbgriM,Commodores,Three Times A Lady,1978,55,0.893,0.482,0.0766,0.000379,-20.634,0.0301,75.722,0.136,D,Peace,,,,,,,,,
spotify:track:1HOMkjp0nHMaTnfAkslCQj,The Knack,My Sharona,1979,73,0.0589,0.586,0.7,0.00125,-9.558,0.0363,147.245,0.897,D,Peace,,,,,,,,,
spotify:track:1ibRqifchaAfeNdQGpbRVW,Donna Summer,Bad Girls,1979,60,0.00387,0.857,0.7,0.0164,-14.506,0.0358,120.529,0.973,D,Peace,,,,,,,,,
spotify:track:3ClOMebBxeNTYCOfTH24YJ,CHIC,Le Freak - 2018 Remaster,1979,67,0.0258,0.91,0.641,6.42E-05,-11.316,0.0589,118.533,0.903,D,Peace,,,,,,,,,
spotify:track:4z7maGZkAonDlXlwo8q69f,Rod Stewart,Da Ya Think I'm Sexy?,1979,66,0.0143,0.715,0.689,0.000192,-8.065,0.029,111.504,0.852,D,Peace,,,,,,,,,
spotify:track:7wbPfd2mXbStoZZSnHNd2V,Peaches & Herb,Reunited,1979,53,0.857,0.561,0.501,0.0106,-9.544,0.0266,75.68,0.339,D,Peace,,,,,,,,,
spotify:track:7cv28LXcjAC3GsXbUvXKbX,Gloria Gaynor,I Will Survive - Single Version,1979,65,0.0181,0.775,0.731,0.00952,-8.715,0.0536,116.66,0.558,D,Peace,,,,,,,,,
spotify:track:2zMJN9JvDlvGP4jB03l1Bz,Donna Summer,Hot Stuff,1979,62,0.00559,0.823,0.743,0.0306,-13.98,0.0316,120.471,0.966,D,Peace,,,,,,,,,
spotify:track:4YOJFyjqh8eAcbKFfv88mV,Village People,Y.M.C.A.,1979,60,0.0302,0.755,0.785,0,-10.942,0.0622,126.445,0.763,D,Peace,,,,,,,,,
spotify:track:7GK2KVYH8FrTC9zehmjVMd,Anita Ward,Ring My Bell,1979,59,0.0661,0.781,0.556,0.0907,-13.067,0.0611,125.999,0.968,D,Peace,,,,,,,,,
spotify:track:3w3rLh6wmne91BS2rwgcog,Robert John,Sad Eyes - Remastered,1979,53,0.599,0.431,0.463,0.00282,-7.342,0.0268,107.19,0.687,D,Peace,,,,,,,,,
spotify:track:7HKxTNVlkHsfMLhigmhC0I,Blondie,Call Me,1980,65,0.000646,0.554,0.833,0.0025,-6.667,0.0347,142.673,0.773,D,Peace,,,,,,,,,
spotify:track:4gMgiXfqyzZLMhsksGmbQV,Pink Floyd,"Another Brick in the Wall, Pt. 2",1980,75,0.0781,0.694,0.394,0.000677,-15.881,0.0428,104.126,0.719,D,Peace,,,,,,,,,
spotify:track:56BSwBKWHYldQOgYLHiehs,Various Artists,Magic,1980,41,0.0177,0.7,0.618,2.87E-05,-5.992,0.0267,103.816,0.614,D,Peace,,,,,,,,,
spotify:track:7oOOI85fVQvVnK5ynNMdW7,Michael Jackson,Rock with You - Single Version,1980,72,0.179,0.808,0.535,9.91E-05,-12.521,0.0353,114.031,0.848,D,Peace,,,,,,,,,
spotify:track:0m4jVVZrsv0bLkAr1uM6UG,Captain & Tennille,Do That To Me One More Time,1980,61,0.549,0.728,0.527,0.000122,-8.223,0.0257,90.223,0.495,D,Peace,,,,,,,,,
spotify:track:35ItUJlMtjOQW3SSiTCrrw,Queen,Crazy Little Thing Called Love - Remastered 2011,1980,65,0.679,0.622,0.781,0,-6.756,0.0516,76.709,0.718,D,Peace,,,,,,,,,
spotify:track:4Ku6X72Q815qNd7ChuiDdD,Paul McCartney,Coming Up - Remastered 2011,1980,42,0.457,0.817,0.767,0.0723,-7.194,0.0468,128.93,0.878,D,Peace,,,,,,,,,
spotify:track:4vAeAdQuqHE8NYi1xrZzX8,Various Artists,Funkytown,1980,56,0.00239,0.898,0.543,0.415,-10.583,0.0629,122.133,0.254,D,Peace,,,,,,,,,
spotify:track:562JrM9b7jiu8LgzV62x3o,Bette Midler,The Rose,1980,63,0.901,0.347,0.228,0,-9.667,0.0296,133.574,0.184,D,Peace,,,,,,,,,
spotify:track:4eHbdreAnSOrDDsFfc4Fpm,Whitney Houston,I Will Always Love You,1993,74,0.844,0.306,0.214,5.30E-06,-12.518,0.0356,66.98,0.108,D,Peace,,,,,,,,,
spotify:track:4EEGHbMUyS07PNVXSGB7Qg,Tag Team,Whoomp! (There It Is),1993,58,0.00123,0.8,0.639,0,-7.406,0.0439,129.443,0.45,D,Peace,,,,,,,,,
spotify:track:5CdJveJgiGXoGwDFqF6afp,Silk,Freak Me,1993,58,0.0295,0.697,0.608,0,-10.976,0.0463,133.879,0.725,D,Peace,,,,,,,,,
spotify:track:71EHOyEOhNx1SzTebRRyng,SWV,Weak,1993,65,0.107,0.693,0.533,0,-10.954,0.0402,127.661,0.568,D,Peace,,,,,,,,,
spotify:track:1jCsCYgzQQHk3bDJDuFbNi,Shai,If I Ever Fall In Love,1993,55,0.779,0.525,0.221,0,-11.233,0.0317,36.71,0.415,D,Peace,,,,,,,,,
spotify:track:6HcQZfMrw3KwGyzrKw1Pjy,Mariah Carey,Dreamlover,1993,56,0.18,0.701,0.705,0,-6.18,0.0357,100.669,0.71,D,Peace,,,,,,,,,
spotify:track:4dY4JVC0Q9CwpeZ6JAclIc,Wreckx-N-Effect,Rump Shaker,1993,52,0.00277,0.885,0.81,0.0327,-6.83,0.235,102.773,0.247,D,Peace,,,,,,,,,
spotify:track:2LjiPAQOVazT8sRyXL3XRs,Snow,Informer,1993,64,0.0984,0.763,0.742,0,-10.975,0.188,98.145,0.483,D,Peace,,,,,,,,,
spotify:track:0hrBpAOgrt8RXigk83LLNE,Ace of Base,The Sign,1994,68,0.00928,0.808,0.786,0.0701,-6.897,0.0447,96.987,0.899,D,Peace,,,,,,,,,
spotify:track:4WUnM4KNZ0kjp0CUeoyOnS,All-4-One,I Swear,1994,65,0.235,0.532,0.407,0,-9.658,0.0233,83.207,0.23,D,Peace,,,,,,,,,
spotify:track:5kK1Iru9ogP3Iy1zsANU1n,Céline Dion,The Power of Love,1994,66,0.36,0.546,0.519,0.00046,-9.072,0.0291,140.054,0.247,D,Peace,,,,,,,,,
spotify:track:4FCb4CUbFCMNRkI6lYc1zI,Mariah Carey,Hero,1994,70,0.735,0.501,0.378,0,-9.37,0.029,119.987,0.178,D,Peace,,,,,,,,,
spotify:track:73QZwkXJa4BXj0Lbh82jxA,The Karaoke Channel,Karaoke - Stay (I Missed You),1994,2,0.718,0.64,0.415,0.0651,-11.656,0.045,155.921,0.299,D,Peace,,,,,,,,,
spotify:track:1xFliXOpcu7E89AsDAZ7JV,Toni Braxton,Breathe Again,1994,52,0.0704,0.689,0.677,0,-6.36,0.0326,153.919,0.259,D,Peace,,,,,,,,,
spotify:track:6kWJvPfC4DgUpRsXKNa9z9,Ace of Base,All That She Wants,1994,71,0.00547,0.798,0.625,7.98E-05,-9.689,0.0548,93.764,0.858,D,Peace,,,,,,,,,
spotify:track:6fFxKLyfNXqFewkQGOx89j,Coolio,Gangsta's Paradise 2k11 (Coolio vs Rico Bernasconi & Kylian Mash) - Montesano & Katuin Gangsta Club Mix,1995,1,0.000679,0.624,0.567,0.391,-8.749,0.0988,128.005,0.119,D,Peace,,,,,,,,,
spotify:track:6qspW4YKycviDFjHBOaqUY,TLC,Waterfalls,1995,71,0.311,0.77,0.505,7.40E-05,-7.345,0.0828,171.798,0.757,D,Peace,,,,,,,,,
spotify:track:1aWV3uY3SIEZVbmv45oFWS,TLC,Creep,1995,65,0.0193,0.811,0.458,1.41E-06,-9.688,0.0402,92.94,0.797,D,Peace,,,,,,,,,
spotify:track:3YKptz29AsOlm7WAVnztBh,Seal,Kiss from a Rose,1995,71,0.684,0.583,0.532,0,-7.11,0.0309,131.741,0.223,D,Peace,,,,,,,,,
spotify:track:7MYmo0JJJDmu4MZTSAF9y3,Boyz II Men,On Bended Knee,1995,57,0.413,0.626,0.532,0,-8.097,0.0351,116.621,0.197,D,Peace,,,,,,,,,
spotify:track:3pEuO9J2MTEmec8kUfYYvl,Real McCoy,Another Night,1995,59,0.0908,0.813,0.882,0.00457,-7.575,0.0402,125.983,0.874,D,Peace,,,,,,,,,
spotify:track:6xkryXuiZU360Lngd4sx13,Mariah Carey,Fantasy,1995,67,0.139,0.671,0.727,0,-7.585,0.035,102.358,0.801,D,Peace,,,,,,,,,
spotify:track:7izFzcBTx3DVXFeFYDeZKB,Madonna,Take a Bow,1995,51,0.341,0.549,0.408,0,-7.698,0.024,80.133,0.319,D,Peace,,,,,,,,,
spotify:track:6uQKuonTU8VKBz5SHZuQXD,Montell Jordan,This Is How We Do It,1995,65,0.0159,0.799,0.63,0,-9.279,0.0748,103.647,0.772,D,Peace,,,,,,,,,
spotify:track:28UMiBhn383n9S7GL4tsxD,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",1996,72,0.314,0.614,0.466,0,-9.881,0.0327,119.916,0.178,D,Peace,,,,,,,,,
spotify:track:2PsHIonOTmX6bSrzIJSjyS,The Tony Rich Project,Nobody Knows,1996,51,0.509,0.64,0.433,4.90E-06,-9.432,0.0374,176.086,0.25,D,Peace,,,,,,,,,
spotify:track:2aBxt229cbLDOvtL7Xbb9x,Mariah Carey,Always Be My Baby,1996,72,0.457,0.649,0.531,0,-8.335,0.0363,78.946,0.488,D,Peace,,,,,,,,,
spotify:track:4vDBJeeQCbhP9FaPPMsYkY,Tracy Chapman,Give Me One Reason,1996,68,0.602,0.608,0.419,7.58E-06,-10.016,0.0331,100.22,0.602,D,Peace,,,,,,,,,
spotify:track:5KSJ9k1FYjFLnIRlJT2wF8,Bone Thugs-N-Harmony,Tha Crossroads,1996,66,0.0856,0.679,0.509,0,-7.31,0.0617,144.29,0.534,D,Peace,,,,,,,,,
spotify:track:1PEqh7awkpuepLBSq8ZwqD,Donna Lewis,I Love You Always Forever,1996,69,0.627,0.744,0.453,0.421,-11.977,0.0348,103.773,0.122,D,Peace,,,,,,,,,
spotify:track:69QIVIjPMnI1ABLBqh9P1b,Keith Sweat,Twisted,1996,62,0.393,0.615,0.514,0,-9.759,0.0466,175.849,0.822,D,Peace,,,,,,,,,
spotify:track:3DUcaEvPO72PijivCjtZcU,Elton John,Candle In The Wind 1997,1997,41,0.979,0.447,0.306,0.0149,-8.047,0.0337,125.873,0.363,D,Peace,,,,,,,,,
spotify:track:5Ihd9HrPvOADyVoonH9ZjB,Toni Braxton,Un-Break My Heart,1997,68,0.413,0.625,0.426,0,-8.392,0.0271,110.018,0.112,D,Peace,,,,,,,,,
