URI,Artist,Songs,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence,WH,War?,,,,,,,,,
spotify:track:2RzJwBCXsS1VnjDm2jKKAa,R. Kelly,I Believe I Can Fly,1997,60,0.241,0.55,0.444,0,-7.588,0.0292,120.179,0.0438,D,Peace,,,,,,,,,
spotify:track:3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,Return of the Mack,1997,71,0.00631,0.715,0.833,0,-5.379,0.108,95.487,0.612,D,Peace,,,,,,,,,
spotify:track:7BD50ATrF3Vab5FQy7vtK8,LeAnn Rimes,How Do I Live,1997,66,0.128,0.577,0.462,0,-7.989,0.0279,128.303,0.258,D,Peace,,,,,,,,,
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,Wannabe,1997,79,0.101,0.768,0.864,0,-6.145,0.0324,110.008,0.891,D,Peace,,,,,,,,,
spotify:track:5IFCyWplye09HytIP80RCF,Next,Too Close,1998,64,0.0118,0.847,0.402,0,-9.952,0.0641,99.693,0.752,D,Peace,,,,,,,,,
spotify:track:30lxTiMzVRxp6wLcTn6awC,Various Artists,The Boy Is Mine - Radio Edit,1998,18,0.246,0.693,0.665,0.0001,-7.235,0.0421,93.044,0.683,D,Peace,,,,,,,,,
spotify:track:013AWvizllIUEC2FOBzOnh,Savage Garden,Truly Madly Deeply,1998,73,0.403,0.555,0.698,0,-8.874,0.0287,168.12,0.816,D,Peace,,,,,,,,,
spotify:track:7BD50ATrF3Vab5FQy7vtK8,LeAnn Rimes,How Do I Live,1998,66,0.128,0.577,0.462,0,-7.989,0.0279,128.303,0.258,D,Peace,,,,,,,,,
spotify:track:1GrikfH0jDejDvrxo84n4P,Janet Jackson,Together Again,1998,66,0.0788,0.873,0.591,0.0071,-8.942,0.102,123.091,0.496,D,Peace,,,,,,,,,
spotify:track:5GorFaKkP2mLREQvhSblIg,K-Ci & JoJo,All My Life,1998,70,0.117,0.634,0.528,2.26E-06,-8.834,0.0309,128,0.18,D,Peace,,,,,,,,,
spotify:track:3DUcaEvPO72PijivCjtZcU,Elton John,Candle In The Wind 1997,1998,41,0.979,0.447,0.306,0.0149,-8.047,0.0337,125.873,0.363,D,Peace,,,,,,,,,
spotify:track:5L0KDoZklMgs9GPoonneEl,Usher,Nice & Slow,1998,62,0.153,0.819,0.299,0,-11.964,0.122,121.913,0.515,D,Peace,,,,,,,,,
spotify:track:5MDQNJ7SZTytJwCbWKqJDL,Paula Cole,I Don't Want to Wait,1998,61,0.298,0.41,0.468,1.19E-05,-8.177,0.0553,177.508,0.475,D,Peace,,,,,,,,,
spotify:track:2goLsvvODILDzeeiT4dAoR,Cher,Believe,1999,75,0.0082,0.652,0.917,0,-6.72,0.0548,132.975,0.459,D,Peace,,,,,,,,,
spotify:track:1KGi9sZVMeszgZOWivFpxs,TLC,No Scrubs,1999,79,0.0251,0.743,0.675,0.000717,-4.267,0.0953,92.909,0.59,D,Peace,,,,,,,,,
spotify:track:1AM1o0mKbgAK5oMpY8B3Z7,Monica,Angel of Mine - Radio Mix,1999,66,0.00373,0.592,0.562,3.23E-05,-6.869,0.0239,90.16,0.208,D,Peace,,,,,,,,,
spotify:track:4J9u7UsXH7F6sFI32KnYuP,Whitney Houston,Heartbreak Hotel (feat. Faith Evans & Kelly Price),1999,50,0.0477,0.724,0.535,0,-7.616,0.0588,133.816,0.664,D,Peace,,,,,,,,,
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,...Baby One More Time,1999,75,0.202,0.759,0.699,0.000131,-5.745,0.0307,92.96,0.907,D,Peace,,,,,,,,,
spotify:track:754kgU5rWscRTfvlsuEwFp,Sixpence None The Richer,Kiss Me,1999,76,0.023,0.526,0.749,1.76E-06,-6.964,0.0283,99.982,0.421,D,Peace,,,,,,,,,
spotify:track:11mwFrKvLXCbcVGNxffGyP,Christina Aguilera,Genie In a Bottle,1999,71,0.21,0.627,0.8,0.000123,-6.945,0.162,175.815,0.912,D,Peace,,,,,,,,,
spotify:track:2ouURa1AIXp3AvkS52Jry5,Sugar Ray,Every Morning,1999,64,0.0834,0.833,0.679,0.00258,-4.496,0.0365,109.916,0.975,D,Peace,,,,,,,,,
spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,Ricky Martin,Livin' la Vida Loca,1999,71,0.00411,0.425,0.954,0,-3.756,0.0476,178.043,0.933,D,Peace,,,,,,,,,
spotify:track:3y4LxiYMgDl4RethdzpmNe,Faith Hill,Breathe,2000,63,0.173,0.529,0.496,0,-9.007,0.029,136.859,0.278,D,Peace,,,,,,,,,
spotify:track:0n2SEXB2qoRQg171q7XqeW,Santana,Smooth (feat. Rob Thomas),2000,70,0.16,0.609,0.923,4.73E-06,-3.908,0.0338,115.996,0.961,D,Peace,,,,,,,,,
spotify:track:1m2xMsxbtxv21Brome189p,Joe,I Wanna Know,2000,64,0.26,0.725,0.487,1.09E-05,-5.959,0.0368,136.086,0.599,D,Peace,,,,,,,,,
spotify:track:4cKGldbhGJniI8BrB3K6tb,Vertical Horizon,Everything You Want,2000,64,0.0504,0.637,0.759,0,-6.389,0.0305,93.898,0.741,D,Peace,,,,,,,,,
spotify:track:6nozDLxeL0TE4MS9GqYU1v,Savage Garden,I Knew I Loved You,2000,65,0.32,0.61,0.497,6.11E-05,-9.88,0.0279,85.031,0.739,D,Peace,,,,,,,,,
spotify:track:6iNcyWk5iUEY7P9zeTc5hm,Lonestar,Amazed,2000,64,0.247,0.557,0.553,0,-7.954,0.0319,139.821,0.253,D,Peace,,,,,,,,,
spotify:track:6fA7akEuTUL3dW1V0GELaZ,Matchbox Twenty,Bent,2000,52,0.0404,0.518,0.83,3.85E-06,-6.814,0.0386,95.468,0.527,D,Peace,,,,,,,,,
spotify:track:7f1Dmr246cJ9uQYdbplTbh,Toni Braxton,He Wasn't Man Enough,2000,64,0.00947,0.739,0.947,2.99E-05,-1.915,0.0412,88.009,0.763,D,Peace,,,,,,,,,
spotify:track:30F5DTdI9dYwW69OEe0L56,Various Artists,Little Things Mean a Lot,1954,23,0.983,0.238,0.124,0.0123,-14.607,0.0349,63.519,0.193,R,Peace,,,,,,,,,
spotify:track:5tAipU3eQhBly8sJQyn5c8,Perry Como,Wanted (with Henri René & His Orchestra and Chorus),1954,27,0.879,0.36,0.232,2.08E-05,-11.214,0.029,72.773,0.427,R,Peace,,,,,,,,,
spotify:track:4YQU4nreaVr16nDq1uaI0E,Rosemary Clooney,Hey There,1954,23,0.428,0.558,0.219,0,-14.148,0.0587,119.57,0.395,R,Peace,,,,,,,,,
spotify:track:5ZqiHCo9WbLBLPTALP9aRC,Various Artists,Sh Boom (Life Could Be a Dream),1954,45,0.843,0.675,0.232,0,-12.821,0.102,64.44,0.598,R,Peace,,,,,,,,,
spotify:track:0EIEvpiVxoXEn5GZWvG1RT,Eddie Fisher,Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,1954,31,0.863,0.425,0.188,0,-9.927,0.0289,97.048,0.502,R,Peace,,,,,,,,,
spotify:track:1LvJvqApB38VYkZDoFfhxC,The Four Knights,I Get So Lonely (When I Dream About You),1954,30,0.729,0.798,0.314,0,-11.846,0.0432,111.889,0.968,R,Peace,,,,,,,,,
spotify:track:2vZNvA8PEvBdeWr4EkZjLG,The Four Aces,Three Coins In The Fountain,1954,26,0.476,0.38,0.21,2.32E-06,-12.898,0.0307,77.992,0.517,R,Peace,,,,,,,,,
spotify:track:2dX2phLETbjqZA0D78ms4T,Doris Day,Secret Love,1954,31,0.955,0.28,0.151,0.00107,-14.317,0.0355,76.222,0.176,R,Peace,,,,,,,,,
spotify:track:5HisVcYPaIB4uHdrnW6HCt,Pérez Prado,Cherry Pink And Apple Blossom White,1955,38,0.517,0.51,0.344,0.754,-13.14,0.0454,118.274,0.707,R,Peace,,,,,,,,,
spotify:track:1uRKT2LRANv4baowBWHfDS,Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,1955,58,0.205,0.811,0.859,3.73E-06,-6.317,0.168,90.686,0.784,R,Peace,,,,,,,,,
spotify:track:7985fUI9WlsIIrQuO9TBDh,Mitch Miller,The Yellow Rose of Texas - Single Version,1955,30,0.835,0.788,0.878,8.79E-06,-8.834,0.041,100.064,0.929,R,Peace,,,,,,,,,
spotify:track:4AyqwjnbbWfFLPKL4UUSzU,Roger Williams,Autumn Leaves,1955,33,0.969,0.367,0.191,0.885,-20.623,0.0343,107.704,0.212,R,Peace,,,,,,,,,
spotify:track:4dnbvB2Y3cZncApCwowEQx,Les Baxter,Unchained Melody,1955,25,0.206,0.242,0.209,0.0289,-13.017,0.0324,93.267,0.221,R,Peace,,,,,,,,,
spotify:track:5koEBSDfDV8MQVN0tg67z5,The Four Aces,Love Is A Many-Splendored Thing,1955,35,0.761,0.237,0.316,0,-11.196,0.0336,82.911,0.29,R,Peace,,,,,,,,,
spotify:track:4bsND9IuJz18UtFx2MwwO8,The McGuire Sisters,Sincerely,1955,38,0.842,0.442,0.186,0,-10.438,0.0267,73.777,0.583,R,Peace,,,,,,,,,
spotify:track:1VbPvNOeKkkQGoMgeWeMzL,Georgia Gibbs,Dance With Me Henry (Wallflower),1955,9,0.899,0.661,0.593,4.61E-05,-11.039,0.164,138.046,0.75,R,Peace,,,,,,,,,
spotify:track:6xNwKNYZcvgV3XTIwsgNio,Elvis Presley,Heartbreak Hotel,1956,62,0.84,0.696,0.21,1.62E-06,-11.922,0.067,93.543,0.717,R,Peace,,,,,,,,,
spotify:track:07tMKurz0WxXRP7ktP2r8C,Nelson Riddle,Lisbon Antigua,1956,25,0.649,0.47,0.159,0.000708,-16.733,0.029,80.108,0.428,R,Peace,,,,,,,,,
spotify:track:1ntGJDSakqsaw1KhptKrB5,The Platters,My Prayer,1956,49,0.825,0.391,0.275,0,-8.259,0.0277,71.281,0.243,R,Peace,,,,,,,,,
spotify:track:2VqsUEpRPvgiiBdsBuQrJz,Gogi Grant,The Wayward Wind,1956,22,0.656,0.528,0.263,2.59E-06,-15.26,0.0357,138.437,0.569,R,Peace,,,,,,,,,
spotify:track:70gZnClysSHCBwI0H4qr5O,Les Baxter,The Poor People Of Paris (Jean's Song) - Single Version,1956,23,0.693,0.567,0.279,0.289,-11.763,0.0377,87.581,0.764,R,Peace,,,,,,,,,
spotify:track:6yhLR2sVn1IfsScVrR4ocr,Doris Day,"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra) - Single Version",1956,59,0.864,0.416,0.341,0,-10.749,0.0391,177.229,0.776,R,Peace,,,,,,,,,
spotify:track:64Ny7djQ6rNJspquof2KoX,Elvis Presley,Hound Dog,1956,68,0.733,0.357,0.756,0.00505,-8.492,0.0621,174.797,0.95,R,Peace,,,,,,,,,
spotify:track:4h0igWYayzteBtSNpWYQ9h,Dean Martin,Memories Are Made Of This,1956,53,0.918,0.611,0.179,0,-15.977,0.0488,133.073,0.556,R,Peace,,,,,,,,,
spotify:track:2qQF7Un1hKV40IJkFJ72TU,Various Artists,The Rock And Roll Waltz - Digitally Mastered 1988,1956,24,0.838,0.549,0.304,0,-11.183,0.0316,104.518,0.739,R,Peace,,,,,,,,,
spotify:track:5ueyLj6e6oVaTY0KQ6yLaA,Elvis Presley,All Shook Up,1957,59,0.881,0.624,0.468,6.35E-06,-12.162,0.132,74.139,0.952,R,Peace,,,,,,,,,
spotify:track:1eqGYJJr2z2GXK1i0hD3BC,Pat Boone,Love Letters In The Sand - Single Version,1957,50,0.811,0.571,0.196,0,-13.216,0.0278,88.728,0.555,R,Peace,,,,,,,,,
spotify:track:7ycFNferNuk6wAjBa0vWvl,The Diamonds,Little Darlin',1957,52,0.536,0.631,0.587,0.29,-11.402,0.042,152.851,0.664,R,Peace,,,,,,,,,
spotify:track:1gA4f2lkenxCcWLPjKRV0N,Jimmy Dorsey,So Rare - Remastered,1957,21,0.776,0.539,0.562,0.0179,-6.497,0.0299,87.995,0.659,R,Peace,,,,,,,,,
spotify:track:6DoXmlpsO3f5eEDKQYEeTq,Guy Mitchell,Singing the Blues - Rerecorded,1957,25,0.538,0.657,0.496,0,-11.493,0.0437,142.862,0.724,R,Peace,,,,,,,,,
spotify:track:7ow0KcdNRitEedvwQNTd6S,Sonny James,Young Love,1957,40,0.752,0.455,0.244,9.52E-06,-16.097,0.041,146.483,0.383,R,Peace,,,,,,,,,
spotify:track:6Dr0EbXrRpMs5GeCjOxnE5,Elvis Presley,Too Much,1957,49,0.776,0.546,0.815,0,-5.607,0.047,118.489,0.906,R,Peace,,,,,,,,,
spotify:track:6hdPYYPHJz6IPuH4KayU1d,Perry Como,Round and Round (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),1957,31,0.913,0.707,0.452,0,-12.264,0.0732,117.605,0.764,R,Peace,,,,,,,,,
spotify:track:2IKvYPWeWZufWdh3n306sK,Luciano Pavarotti,"Nel blu, dipinto di blu (Volare)",1958,21,0.955,0.371,0.189,3.67E-06,-14.662,0.0405,128.956,0.476,R,Peace,,,,,,,,,
spotify:track:48skOMMuEQSfwo0JZpfqjk,Various Artists,Witch Doctor - Classic Version,1958,25,0.455,0.6,0.742,0,-4.752,0.0604,138.227,0.84,R,Peace,,,,,,,,,
spotify:track:205EtD8tQnHDXMkmtYiaHF,Pérez Prado,Patricia,1958,38,0.0862,0.704,0.638,0.251,-9.522,0.0457,137.396,0.837,R,Peace,,,,,,,,,
spotify:track:5gJKsGij5oGt5H5RSFYXPa,The Champs,Tequila,1958,60,0.121,0.671,0.742,0.679,-9.912,0.0441,89.748,0.897,R,Peace,,,,,,,,,
spotify:track:6YAgmqaeo8Fm3pne8OJEBo,Dean Martin,Return To Me (Ritorna-Me) - 1997 Remaster,1958,47,0.966,0.267,0.205,0.00203,-13.75,0.0348,88.584,0.178,R,Peace,,,,,,,,,
spotify:track:0dwpdcQkeZqpuoAPYD49N3,Johnny Horton,The Battle Of New Orleans,1959,51,0.764,0.703,0.776,0,-10.983,0.139,177.283,0.921,R,Peace,,,,,,,,,
spotify:track:3E5ndyOfO6vFDEIE42HA8o,Bobby Darin,Mack the Knife,1959,58,0.76,0.549,0.529,0,-12.291,0.108,82.755,0.464,R,Peace,,,,,,,,,
spotify:track:5vjigjfoXuJEttqLB3HTAg,Lloyd Price,Personality,1959,47,0.723,0.588,0.449,0,-8.782,0.0339,128.929,0.889,R,Peace,,,,,,,,,
spotify:track:0DDkW8j34M5hvxj79uGmK7,Frankie Avalon,Venus,1959,45,0.732,0.558,0.483,2.76E-05,-10.229,0.0291,115.184,0.745,R,Peace,,,,,,,,,
spotify:track:4kh2S9hRpPvoF9JkwZcYGN,Paul Anka,Lonely Boy,1959,43,0.352,0.623,0.605,0,-9.923,0.0306,106.163,0.804,R,Peace,,,,,,,,,
spotify:track:1KLpjQFgubHI3GkAICCNH3,Bobby Darin,Dream Lover,1959,60,0.715,0.526,0.774,0,-1.692,0.0459,131.715,0.715,R,Peace,,,,,,,,,
spotify:track:5xghdTMuqQPqtDJ0bn3zkn,The Browns,The Three Bells (Les Trois Cloches) (feat. Jim Ed Brown),1959,34,0.83,0.455,0.327,0,-10.113,0.0328,106.303,0.324,R,Peace,,,,,,,,,
spotify:track:603N4XGJUTbK760GLCvIIs,The Fleetwoods,Come Softly To Me,1959,52,0.93,0.601,0.095,0.000285,-18.478,0.0374,122.975,0.672,R,Peace,,,,,,,,,
spotify:track:4GvyP7CnBJEV2t7L7vOkjw,Wilbert Harrison,Kansas City,1959,45,0.653,0.727,0.665,0.233,-6.453,0.0352,114.979,0.912,R,Peace,,,,,,,,,
spotify:track:6bnFjTW3EnMG4BwreDnSHK,The Fleetwoods,Mr. Blue,1959,52,0.931,0.374,0.0889,6.88E-06,-17.475,0.0356,96.677,0.211,R,Peace,,,,,,,,,
spotify:track:2kKL5kk4On8YRSKWDgXWMX,Percy Faith & His Orchestra,"The Theme from ""A Summer Place"" - Single Version",1960,52,0.631,0.466,0.389,0.843,-12.825,0.0253,92.631,0.749,R,Peace,,,,,,,,,
spotify:track:1RYznli2VNO7FCbW1Hq4KM,Johnny Preston,Running Bear,1960,40,0.854,0.772,0.297,7.59E-06,-14.679,0.053,119.987,0.822,R,Peace,,,,,,,,,
spotify:track:36NPEs4S7ik50NrlzaqoIJ,Various Artists,Teen Angel,1960,25,0.936,0.57,0.0636,0,-18.548,0.0459,101.517,0.282,R,Peace,,,,,,,,,
spotify:track:1CUN9HpU25ymyCh5dBCygu,Jimmy Jones,Handy Man,1960,28,0.376,0.452,0.644,0,-9.061,0.049,144.995,0.854,R,Peace,,,,,,,,,
spotify:track:39zODpVtRvghMyfNjZ3BVK,Elvis Presley,Stuck on You,1960,59,0.758,0.647,0.513,8.64E-06,-12.372,0.0421,131.641,0.955,R,Peace,,,,,,,,,
spotify:track:3ohLnESFgYACPMCkoTOzqE,Chubby Checker,The Twist,1960,56,0.202,0.533,0.638,0,-7.13,0.0341,156.663,0.937,R,Peace,,,,,,,,,
spotify:track:1vZTgn4JXWMahR8r99ug5H,Barbra Streisand,The Way We Were,1974,53,0.885,0.264,0.32,0.00141,-11.716,0.0325,138.108,0.171,R,Peace,,,,,,,,,
spotify:track:0X3d9gx7UDYgcwwkgTeNLR,Various Artists,Seasons in the Sun,1974,51,0.777,0.678,0.611,0,-8.306,0.0506,98.949,0.821,R,Peace,,,,,,,,,
spotify:track:7GVUmCP00eSsqc4tzj1sDD,Redbone,Come and Get Your Love - Single Version,1974,78,0.172,0.731,0.804,0.00028,-7.621,0.0473,107.383,0.957,R,Peace,,,,,,,,,
spotify:track:0xqb2Euq1PAxKHBA36NUnx,The Jackson 5,Dancing Machine,1974,55,0.133,0.776,0.794,2.35E-05,-7.722,0.0723,109.277,0.845,R,Peace,,,,,,,,,
spotify:track:0PxYWaGiwWtcuL1VIMiEW4,Grand Funk Railroad,The Loco-Motion - Remastered 2002,1974,45,0.375,0.456,0.933,0,-5.212,0.153,125.051,0.367,R,Peace,,,,,,,,,
spotify:track:6B9tR2OEurD4FsZM5btj3X,MFSB,TSOP (The Sound of Philadelphia) - Extended Version,1974,27,0.0739,0.723,0.853,0.226,-8.296,0.0295,114.268,0.965,R,Peace,,,,,,,,,
spotify:track:3HiIBzaoBkOTLmRYkdsusv,Ray Stevens,The Streak - 1974 #1Pop; #3Country Billboard Chart Hit,1974,38,0.637,0.698,0.526,0,-14.338,0.298,119.827,0.763,R,Peace,,,,,,,,,
spotify:track:0dBatXn1vVUl0jLgXRClwD,Elton John,Bennie And The Jets - Remastered 2014,1974,71,0.259,0.665,0.673,7.62E-06,-7.95,0.0493,132.642,0.779,R,Peace,,,,,,,,,
spotify:track:7Eq6uD4xcTs4Ddmyv6Ttjs,Mac Davis,One Hell Of A Woman,1974,24,0.344,0.634,0.428,0.00253,-16.536,0.0471,120.161,0.61,R,Peace,,,,,,,,,
spotify:track:4pCNJwixy2ImFncaPY2yE2,Captain & Tennille,Love Will Keep Us Together,1975,58,0.367,0.63,0.777,0,-4.337,0.0312,129.619,0.928,R,Peace,,,,,,,,,
spotify:track:0VwTeYNjcl30DyQlt3GPe0,Glen Campbell,Rhinestone Cowboy,1975,58,0.102,0.644,0.633,6.82E-05,-8.006,0.0261,115.191,0.647,R,Peace,,,,,,,,,
spotify:track:2hl9ONQ7YGgZGYx0OSHvIq,Elton John,Philadelphia Freedom,1975,58,0.0444,0.712,0.681,0.000235,-6.351,0.0294,125.497,0.809,R,Peace,,,,,,,,,
spotify:track:3awuorsQsio2PUOvzq3hpd,Freddy Fender,Before the Next Teardrop Falls,1975,47,0.748,0.799,0.345,2.39E-05,-11.52,0.0276,90.417,0.776,R,Peace,,,,,,,,,
spotify:track:2yDQVcj26tpi9IUJhw9xDs,Frankie Valli,My Eyes Adored You,1975,57,0.238,0.461,0.499,0,-10.443,0.0316,137.687,0.387,R,Peace,,,,,,,,,
spotify:track:0RgcOUQg4qYAEt9RIdf3oB,"Earth, Wind & Fire",Shining Star,1975,61,0.668,0.676,0.692,0.00915,-13.093,0.052,102.516,0.799,R,Peace,,,,,,,,,
spotify:track:1PehfITh0TTRx3LkDdV4h3,David Bowie,Fame - 2016 Remaster,1975,58,0.454,0.786,0.555,0.0173,-10.276,0.0471,95.1,0.673,R,Peace,,,,,,,,,
spotify:track:2ozTcQyZQmm9tSmc4VZfwU,Neil Sedaka,Laughter In The Rain,1975,51,0.358,0.507,0.627,0.00167,-9.439,0.0241,101.023,0.95,R,Peace,,,,,,,,,
spotify:track:608xszaAxVh4m7NcKJiAbF,Eagles,One of These Nights - 2013 Remaster,1975,68,0.0603,0.655,0.606,0.0789,-10.385,0.0285,110.061,0.765,R,Peace,,,,,,,,,
spotify:track:69HICMmc6nNLucAx3aJX9M,John Denver,Thank God I'm a Country Boy,1975,63,0.785,0.762,0.537,0.000669,-9.58,0.0478,105.603,0.958,R,Peace,,,,,,,,,
spotify:track:3bC0IKk62yB6TDaratb1s2,Wings,Silly Love Songs - 1993 Digital Remaster,1976,58,0.184,0.739,0.335,0.244,-16.23,0.0346,125.11,0.818,R,Peace,,,,,,,,,
spotify:track:1tMyqN7bNCokdg7jWgKPc8,Johnnie Taylor,Disco Lady,1976,35,0.0568,0.719,0.79,0,-8.002,0.0521,103.751,0.846,R,Peace,,,,,,,,,
spotify:track:1WoFmc10jNDFmkoiaG1kYK,Various Artists,"December, 1963 (Oh What a Night!)",1976,63,0.0569,0.728,0.592,3.23E-06,-9.518,0.0251,104.407,0.965,R,Peace,,,,,,,,,
spotify:track:5uuJruktM9fMdN9Va0DUMl,Wild Cherry,Play That Funky Music,1976,66,0.0435,0.814,0.672,0,-12.068,0.0619,109.394,0.933,R,Peace,,,,,,,,,
spotify:track:0rHiGIRASJq8snJGFJMpnI,The Manhattans,Kiss and Say Goodbye,1976,55,0.555,0.645,0.42,0,-10.09,0.0624,129.084,0.583,R,Peace,,,,,,,,,
spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,Paul Simon,50 Ways to Leave Your Lover,1976,67,0.166,0.815,0.372,0.000116,-12.814,0.0752,101.684,0.293,R,Peace,,,,,,,,,
